character,scene,dialogue
BathHouse_Pool,pennyHeartbroken, warpOut
Beach,13/f Haley 1500/z winter/t 1000 1600," Haley ""@! Come here, quick! Haley ""My bracelet is gone! I know I had it on when I got here... But now it's gone and I can't find it anywhere... Haley "" 48 null#I'll never find another one like it... # 48 -30 Event_beach1#Relax, I'll just buy you a new one!# 48 50 Event_beach2#I'm really sorry... Haley ""Sorry, Great-Grandma. I lost your precious bracelet. Please forgive me. ""Could she have dropped it nearby? . Haley ""Is that...? Haley ""You found it! Haley ""Thank you so much, @. You're a lifesaver. Haley ""I won't forget what you did for me here. dialogue Haley ""I really owe you one, @."""
Beach,20/f Alex 500/z winter/p Alex/w sunny," Alex ""Oh, hi. Alex ""Um, it's @, right? Alex ""I'm just enjoying this great weather, @. Alex ""Hmm... Hey, go long! Alex ""Heh... Nice try. Alex ""I'm going to be the first professional gridball player from Stardew Valley... There's no doubt in my mind. I already led my school's team to the regional playoffs... Now I'm just training and getting stronger so I can claim my spot on the roster of the Zuzu City Tunnelers. You just wait! fork1 ""#I believe in you!#Wow, you're really arrogant. Alex ""Thanks, @. I'll remember that. dialogue Alex ""Hey, that was fun, huh?"""
Beach,arrogantJosh," Alex ""Hmmph... I think someone's a little jealous. Alex ""I'm out of here. dialogue Alex ""... """
Beach,288847/f Alex 2000/p Alex/w sunny," Alex "" ... Alex ""Oh... @. You saw me crying. Alex ""It was today, twelve years ago... that my Mom died. Alex ""I still remember her well... she'd make salted radish sandwiches for lunch... and toss the gridball with me in the back yard. She took good care of me... and I was too young to really say 'thanks'. Now she's gone forever. Alex ""This is the only keepsake I have left... her secret music box. Alex "" -1 null#So... What are you thinking right now, @? # -1 0 event_box1#Honor your mother's memory by always doing your best.# -1 0 event_box2#You shouldn't dwell in the past.# -1 0 event_box3#I'll always be here for you if you get lonely.# -1 0 event_box4#Get over it. Life is hard for everyone. Alex ""Well, there's no sense sitting around sniveling... let's head back to town. Alex ""Um... @? Alex ""Don't tell anyone I was crying. Okay? Alex ""Hey! / "
Beach,29/f Sebastian 2000/t 1200 2300/w rainy," Sebastian ""@? Sebastian ""Hey. I'm surprised to find you out here in the rain. Sebastian ""Look at those dark clouds looming over the horizon... Sebastian ""I hope they come this way. Sebastian ""I like this weather because it makes everyone disappear... you know? Being around people makes me feel anxious. Sebastian ""I don't feel that way around you, though. Sebastian ""We're getting soaked... Sebastian ""Here... There's room for two. "
Beach,43/f Elliott 2500/w sunny/t 700 1300," Elliott ""Hey. Elliott ""Look... I fixed up that old rowboat that's been sitting by my house. Pretty nice, huh? Elliott ""@... Would you do me the honor of joining me for her maiden voyage? fork1 ""Get in the boat?#Yes# Elliott ""So my book's been out for a while now... It's not a best-seller or anything, but it's been getting some good reviews from the critics. And I really couldn't have finished it without your moral support. Elliott ""Actually, that's not true at all. I would've finished it either way. But I am grateful that you believed in me... in my vision. And, well... Elliott ""Um... @? How do I say this... Elliott ""Well, we've been friends for a while now... But I'm... I'm not sure if I feel that way about you anymore. Elliott ""No! I'm not saying I want to cut all ties with you! In fact... quite the opposite. Elliott ""...Let's see, how do I put this...? For once, I'm at a loss for words... Elliott "" -1 null#@? You're trembling... # -1 50 event_boat1#I'm happy.# -1 -50 event_boat2#You're making me very uncomfortable. Stop. Elliott ""We'd better head back before the southern wind picks up. ^Uh oh... The vibration from your body has caught the attention of a Crimsonfish... We'd better get out of here. Elliott ""Look at the valley from here... it finally looks like 'Home'. Elliott "" ... What a day... "
Beach,NoToElliott," Elliott ""I see. dialogue Elliott ""... """
Beach,733330/f Sam 750/w sunny/t 700 1500/z winter/y 1," Sam ""Hello @. Nice day, isn't it? Sam ""I'm just keeping an eye on my little brother. It's good for him to get some fresh air on a day like this. Sam ""Our Dad used to take us to the beach on sunny days like this. Vincent ""Sam...? Vincent ""Is Dad ever going to come home? Sam ""Of course, Vince. Dad's going to come back as soon as he possibly can. Vincent ""But I heard some grown-ups saying that... that all of our troops are getting shot to pieces. Sam ""Don't believe everything you hear! Sam ""Don't you remember how strong Dad is? He'd never let a pathetic Gotoro grunt get him like that! Don't you worry! And always remember that Mom and I are here to play with you if you ever feel lonely. Vincent ""Okay! Sam ""To be honest, I have no idea if my old man will come back... We've all read the reports. Our soldiers are falling by the thousands. But what am I going to say to Vincent? null ""#It's best to be honest with kids.#You did the right thing. Kids should have hope. Sam ""You think so? Maybe you're right... The world is a cruel place, but kids have to learn that one way or another. ~Yeah... kids should play and have fun while they still have the chance. Sam ""Hey did I tell you the band's starting to come together? Yeah! It turns out Abigail's a pretty good drummer. And Sebastian seemed to really want her in the band... / "
Beach,739330/t 600 1710/*n spring_2_1," Willy ""Ahoy there, son. ^Ahoy there, miss. Heard there was a newcomer in town... Good to finally meet ya. Willy ""Ah... I'm still tryin' to unwind from a month out on the salty seas... It was a big haul! I sold a lot of good fish. Finally saved enough to buy me a new rod. Willy ""Here, I want you to have my old fishing rod. It's important to me that the art o' fishing stays alive. And hey, maybe you'll buy somethin' from the shop once in a while. Willy ""There's good water here in the valley. All kinds o' fish. Willy ""Oh yeah. My shop's back open now, so come by if you need supplies. I'll also buy anything you catch. 'If it smells, it sells'. Heh heh. That's what my ol' Pappy used to say, anyway. position 42 36"
Beach,711130/t 600 1710/f Willy 1500," Willy ""Ah... it's a good thing you turned up, lad.^Ah... It's a good thing you turned up, miss. I've got a... a bit of a problem I could use a hand with... Willy ""Er... It'd be best if I just showed ya... Willy ""Take a deep breath, now. Willy ""As you can see... And smell... heh... The old girls 'ran wild' last night... heh... My experiment needs a little work... Gus ""Hooo~... Back at it again, huh Willy? Willy ""Aye... Gus ""They look fresh all right... Willy ""Aye... These are the finest, meatiest crabs you'll ever set yer eyes on. They be a little too feisty, though... Gus ""I'll take the whole lot! With a discount for the extra labor, of course... Gus ""Looks like we got 'em all... Willy ""Goodbye, me sweet ladies... Gus ""Psst... @... Don't tell Willy, but I'll be doing a special on crab cakes at the saloon for the next few days... position 30 34"
Beach,7771191/t 2000 2500/f Krobus 3500/w sunny, / 
Beach,3131209/n willyBugWadCutscene," Willy ""Hehe... they love it... Look at 'em go! Willy ""Ahoy! Willy ""I was just thinkin' of you, lad.^I was just thinkin' of you, miss. This bug meat you found is perfect! Hehe... When I said 'fresh', I didn't expect it to still be wrigglin'! But I'm not complaining! The fish love it... Hehehe... Willy ""As a way of saying 'thanks', I wanted to teach you an old fisherman's secret... My ol' Pappy taught me this on a fishing trip many years ago. ""Learned how to craft 'Quality Bobber' Willy ""Using that bobber will attract higher quality fish. That means more money in yer pocket, lad. Hehe... ^That means more money in yer pocket, lass. Hehe... Willy ""Got one! / "
BoatTunnel,9348571/Hl willyBoatFixed," Willy ""Aye... a sad sight, isn't she? Willy ""She was me father's boat... Served him well for over 50 years. But now she can barely stay afloat. Willy ""I'd repair her myself, but I don't have the right materials, lad.^I'd repair her myself, but I don't have the right materials, miss. Willy ""Aye... 200 pieces of hardwood to patch the hull would be a good start. But we'll also need to get the ticket machine back up, and the iridium anchor repaired. Willy ""If I could get me hands on the right materials, and repair the ol' girl... well, then I could take you to the Fern Islands. Willy ""Volcanic islands full of strange parrots, they say... #I'd like to help#Nah, I'll pass...(break) Willy ""Aye... I thought you would, lad. ^Aye... I thought you would, miss. Willy ""I'll leave this door unlocked for ya... you can come drop off the materials whenever you like.""(break) Willy ""Alright, suit yourself... If you have a change of heart, you can always come back and help out. I'll leave this door unlocked, anyhow. "
BusStop,60367/u 0," Robin ""Hello! You must be @. I'm Robin, the local carpenter. Mayor Lewis sent me here to fetch you and show you the way to your new home. He's there right now, tidying things up for your arrival. The farm's right over here, if you'll follow me. Robin ""This is farm. Robin ""What's the matter? Sure, it's a bit overgrown, but there's some good soil underneath that mess! With a little dedication you'll have it cleaned up in no time. Robin ""...And here we are, your new home. Lewis ""Ah, the new farmer! Lewis ""Welcome! I'm Lewis, Mayor of Pelican Town. You know, everyone's been asking about you. It's not every day that someone new moves in. It's quite a big deal! Lewis ""So... You're moving into your grandfather's old cottage. It's a good house... very 'rustic'. Robin ""Rustic? That's one way to put it... 'Crusty' might be a little more apt, though. Lewis ""Rude! Lewis ""Don't listen to her, @. She's just trying to make you dissatisfied so that you buy one of her house upgrades. Robin ""Hmmph. Lewis ""Anyway... You must be tired from the long journey. You should get some rest. Tomorrow you ought to explore the town a bit and introduce yourself. The townspeople would appreciate that. Lewis ""Oh, I almost forgot. If you have anything to sell, just place it in this box here. I'll come by during the night to collect it. Well... Good luck! beginGame"
BusStop,4081148/e 47/t 1600 1900," Sam ""Hi @. Thanks for coming. Sam ""Well, our gear's loaded already... Looks like everything's set. Sam ""Alright, everyone... let's get in the bus! Sam "" ... I'm starting to get really nervous. Sam ""Okay, here we are... wish me luck! dialogue Sam ""Hey. The show was a great success! Thanks again, @."""
BusStop,9581348/e 2128292/t 1600 1800," Shane ""Hey, there you are! I'm glad you decided to come. We should get going... Shane ""We're almost there... Shane "" ...pre-game nerves... Shane ""Here, I got you another cold one... Shane ""Hey, I've been meaning to say... Thanks for sticking with me through everything... my anxiety, depression... you know... You've been a really good friend to me. Shane ""Anyway... it's your first gridball game, huh? Shane "" -1 null#Well, what do you think?# -1 10 event_stadium1#Noisy... It makes me appreciate how peaceful it is back home.# -1 10 event_stadium2#Fun... Pelican Town seems really boring in comparison. Shane ""Gahh!! Look, the Tunnelers are on the attack! Shane ""Goal!! Alex ""Goal! Shane ""Oh!... Shane ""Um... Sorry... I got carried away there. 0 Maybe I had one too many... Shane ""Well... that was definitely a good game. Shane ""Oh, yeah... and we won, too. Shane ""Well... see you soon. "
BusStop,520702/a 0 23 0 24/t 600 1600/z spring/z fall/z summer, / 
CommunityCenter,Punch," Morris ""Hah! Morris ""This means nothing. I'll just run a 75%-off sale and all my customers will come crawling back to me, begging for forgiveness. You'll see! Pierre ""No... Not this time, Morris. I think it's time we settled this once and for all. Morris ""Oh? And how do you propose we do that? Morris ""Hah! Primitive... Pierre ""If you're too scared to fight me then bring one of your co-workers! Or are all Joja employees such cowards? Morris ""Insult me all you like... but don't you DARE slander the good name of Joja! Caroline ""Pierre! George ""Ha! Good stuff! Morris ""You're even weaker than your fresh produce selection! Pierre ""And the way you throw punches is just like Joja... Quantity over quality! George ""Get him! Morris and his JojaMart cronies were never heard from again. position 52 20"
ElliottHouse,39/f Elliott 500/p Elliott," Elliott ""@! Come in. Elliott ""Welcome to my humble... well, shack. Elliott ""This is my writing desk. It's where I spend most of my time. Elliott ""For as long as I can remember, I've wanted to be a writer. Have I told you that? That's why I live out here by myself. I figured a lonely life by the sea would help me focus on my literary aspirations... Elliott ""Everyone back home said I was nuts... that I could never make it as a writer. Can you believe it? They said 'For every successful author there's 1000 who fail miserably'. Such pessimism... it's sickening. Elliott ""I can see it in your eyes... you believe in me, @. You've got that spark. Now that's inspiring! That's what I'm looking for... Elliott "" 958699 null#A question... What kind of books do you like, @?# 958699 30 event_idea1#Mystery# 958700 30 event_idea2#Romance# 958701 30 event_idea3# Elliott ""Well! Enough talk about me! Elliott ""Hmm... you probably know a lot about plants, don't you? Elliott ""Would you mind taking a look at this rose, here? I'm afraid it's not doing so well. dialogue Elliott ""Thanks for talking with me... I'll be thinking about what you said."""
ElliottHouse,423502/f Elliott 1500/p Elliott," Elliott ""Ah... I thought someone was there. fork1 ""#That was wonderful.#How long have you been playing? Elliott ""Thank you. I'm not very good, but it's fun to play. elliottPianoJoin"
ElliottHouse,howLong," Elliott ""Oh, I'm not sure... I've been dabbling in piano since I was a kid. I'm not very good, but it's fun. elliottPianoJoin"
ElliottHouse,elliottPianoJoin," Elliott ""I've been working day and night to try and finish my book... It's been driving me insane, @. Elliott ""An occasional tune is the only recreation I allow myself. Elliott ""There's just too much work to do! And my bank account's starting to run dry. Sometimes I wish I could just throw it all away and become a farmer like you. fork1 ""#It's just as hard to be a farmer, you know.#Come live on the farm, I could use the extra help. Elliott ""You're right... that was an insensitive thing to say. Elliott ""What I meant is that I'd like to get away from this dark, musty prison and experience a little bit of real life... that's all. Elliott "" ... sorry I'm complaining like this. I just need someone to talk to now and then. / "
ElliottHouse,extraHelp," Elliott ""Seriously? Elliott ""It sounds wonderful... but I can't give up on my novel. It's already half-way done. Elliott "" ... sorry I'm complaining like this. I just need someone to talk to now and then. / "
Farm,5/e 3/v Abigail/t 600 800," Abigail ""Hi. Um... I just wanted to say sorry for acting so weird yesterday. You probably understand what happened... Uh, okay...bye. "
Farm,47/f Sam 2000/t 600 800/e 44," Sam ""Hi @. Guess what? My band is playing a show tonight, in Zuzu City! Meet me at the bus stop around 4:00 this afternoon to leave for the show. You better be there! dialogue Sam ""I'm excited and a little nervous for the show tonight. I'm sure everything will turn out okay."""
Farm,2346097/f Abigail 2010/x abbySpiritBoard,null
Farm,2346096/f Penny 2505/x pennySpa,null
Farm,2346095/f Elliott 2002/x elliottReading,null
Farm,2346094/f Elliott 2502/x elliottBoat,null
Farm,2111194/e 917409/f Emily 2000/x EmilyClothingTherapy,null
Farm,2111294/e 2123243/f Emily 2502/w sunny/D Emily/x EmilyCamping,null
Farm,3333094/e 191393/x pierreHours,null
Farm,2346093/f Harvey 2502/x harveyBalloon,null
Farm,2346092/f Sam 2502/x samMessage,null
Farm,2346091/f Alex 2502/x joshMessage,null
Farm,2146991/y 3/H, / / 
Farm,55/f Leah 2000/t 600 800/z winter/n LeahArtShowSuggestion," Leah ""Hi @! Are you free this afternoon? I finally got my act together and I'm doing my art show tonight in the town square! Come into town between 3:00 and 5:00 pm if you want to be there! dialogue Leah ""I'm nervous... """
Farm,63/y 2/t 600 1800/H," Kent ""Um, hello there. My name's Kent. I just got back last night... from overseas. My wife told me that a new farmer had moved in while I was gone. Kent ""Well, I just wanted to introduce myself... I'll see you around. "
Farm,992553/t 600 1130/n copperFound," Clint ""Uh... Hi there. Good morning. I noticed that you've been breaking some rocks open and finding ore. That's good! Clint ""If you want to get the most out of the ores you find, you'll need a furnace. Clint ""Just so happens I had an extra set of blueprints lying around. Here, I want you to have them. Learned how to craft a 'Furnace' Clint ""The furnace allows you to smelt metal bars. The bars can be used for crafting, construction, and tool upgrades. Clint "" When you've smelted a few copper bars, consider having me upgrade one of your tools. It can make your work a lot easier. Well, okay. I'm heading home. Take it easy. "
Farm,900553/t 600 1130/Hn ccPantry/A cc_Greenhouse/w sunny," Evelyn ""Good morning, dear. Evelyn ""It was a lovely walk out here... I haven't seen this old farm in a long time. It looks even better than I remember! Evelyn ""Here, I brought you a little something. It's a gift... from one gardener to another. ""Received a 'Garden Pot' Evelyn ""These pots are really handy. You can use them to grow crops of any season indoors! They also look nice outside... but out here they can only house in-season crops. Evelyn ""If you need more, they're really easy to make, too... here, I've got an old magazine clipping with instructions. ""Learned how to craft a 'Garden Pot' Evelyn ""Well, I'd better go. George gets grumpy if he doesn't have his oatmeal on time... You have a great day, honey! "
Farm,992253/t 600 1130/f Leah 1500/w sunny," Leah ""Hi, @. Beautiful day, isn't it? Leah ""I brought you a gift. It's a sculpture I've been working on, just for you. Leah ""It's called... 'How I Feel About @'. I hope you like it. "
Farm,65/m 25000/t 600 1200/H," Demetrius ""Hi @! I have some good news for you. A few days ago I made a breakthrough in my research on the local environment. I'll spare you the technical details and get to the point... You know that empty cave over there, a little ways to the west? Well, I have a way to turn it into something useful... for both of us. I'd like to set up the cave to attract some local species. That way I can observe them in a more controlled environment. And you can harvest whatever products they produce. I can either set up the cave to attract mushrooms or fruit bats. The bats will sometimes leave fruit for you to collect. Demetrius ""Alright! I'll go set it up for you right now! It shouldn't take any time at all. Thanks for letting me do this. dialogue Demetrius ""I'm excited to see what happens with that cave. Aren't you? I hope you're pleased with the work I did."""
Farm,66/e 295672/t 600 700/H," Gunther ""Oh, good morning Mr. @!^Oh, good morning Ms. @! I hope it's not too early... Well, I just wanted to stop by and thank you in person for all the wonderful artifacts and minerals you've discovered... you've done so much for one person! In fact, I've just received a letter from the office of the regional secretary of artifacts... We're being honored with the coveted 'golden shovel' award for our significant contributions to the field! And it's all thanks to you! Well, I should let you get back to your work... Gunther ""Oh! I almost forgot! I have a gift for you... It's an old key that's been sealed in the museum vault for at least 100 years. It's a little rusty, but still beautiful. ""You got the 'Rusty Key'! It's been added to your wallet. "
Farm,690006/n slimeHutchBuilt/H," Marlon ""Bumped into Robin this morning... she told me you've got a new Slime Hutch! Marlon ""Not bad! Marlon ""I was into slime breeding at your age. It's a great hobby... but dangerous. How'd you think I lost this eye? Marlon ""Hah! Marlon ""Just Kidding. Marlon ""Here, I've got something for you. Marlon ""It's a slime egg. You can place that inside a slime incubator to hatch it. Now, take a good hard look at that egg. Next time you're out slime-hunting keep your eyes peeled for more eggs. They're rare, but slimes do drop them from time to time. Collect eggs from different slimes to add some variety to your herd! "
Farm,68/m 5000/g male/x mom1,null
Farm,69/m 15000/g male/x mom2,null
Farm,70/m 32000/g male/x mom3,null
Farm,71/m 120000/g male/x mom4,null
Farm,72/m 5000/g female/x dad1,null
Farm,73/m 15000/g female/x dad2,null
Farm,74/m 32000/g female/x dad3,null
Farm,75/m 120000/g female/x dad4,null
Farm,76/m 27000/x newsstory,null
Farm,706/u 15/x fertilizers,null
Farm,707/y 2/x fertilizers2,null
Farm,909/z spring/z summer/z fall/x WoodChipper,null
Farm,1590166/m 1000/t 600 930/d Mon Tue Thu Sat Sun/w sunny/h cat/H," Marnie ""Hello @! You see this cat here? Marnie ""I found it sitting outside the entrance to your farm! I think it's a stray... poor little thing. Marnie ""I think it likes this place! Hey, um.... Don't you think this farm could use a good cat? Marnie ""Well, little ... You be a good kitty now... okay? / "
Farm,897405/m 1000/t 600 930/d Mon Tue Thu Sat Sun/w sunny/h dog/H," Marnie ""Hello @! You see this dog here? Marnie ""I found it sitting outside the entrance to your farm! I think it's a stray... poor thing. Marnie ""Hey, it seems to like this place! Hey, um.... Don't you think this farm could use a good dog? Marnie ""Well, ... You be a good pooch now... okay? / "
Farm,91/f Marnie 750/t 600 930," Marnie ""Good morning, Mr. @! ^Good Morning, Ms. @! I came by to ask you a favor, since you're such a kind neighbor. You see, I'm trying to train my goats to say 'hello'... but they simply won't pay attention to me unless I have their favorite treat, cave carrots! So... since I'm scared of the mines... I thought, well, maybe you would bring me a cave carrot when you have the chance? There's no pressure... but if you want to, just swing by my house between 9:00 AM and 5:00 PM with a cave carrot. You'll make an old girl very happy. Bye. dialogue Marnie ""My goats go wild over cave carrot... I can't imagine why."""
Farm,93/f Jodi 1000/t 600 930/d Tue Wed Thu Fri Sat Sun," Jodi "" ...hi @! Whew... that was quite a workout, walking all the way up here. Jodi ""Anyway... I came by to ask if you wanted to have dinner with us tonight! You don't have to... but if you decide to come, could you please bring a largemouth bass with you? ...that's right. One of those big, slimy fish from the lake. I need one for the casserole I'm making. Okay, well... it'll be at our house at around 7:00 PM tonight... don't forget the largemouth bass! Bye. dialogue Jodi ""Fish casserole always hits the spot."""
Farm,102/z spring/z summer/z fall/d Mon Tue Wed Thu Fri Sat/y 1/H," Pierre ""Hello there, @. So! Your first year in Stardew Valley is almost over, huh? If you keep buying seeds from me, you'll be twice as productive next year! And I have some exciting news... I'll be selling new seed varieties in my shop next year! I should have 1 new variety per season. ...Well, that's all I wanted to say. Have a good one. Pierre ""You know... I wouldn't even bother trying my competitor's seeds. Pierre's seeds are the quality seeds you'll find anywhere. That's a promise. "
Farm,2118991/e 3910975/t 600 800," Shane ""Hey... Shane ""Oh man... Uh... How do I say this? I'm really sorry about what happened at the cliffs. That was... embarrassing... Shane "" -1 null -1 10 event_apologize1#I'm glad I was there to help.# -1 -10 event_apologize2#You needed a serious wake-up call.# -1 10 event_apologize3#I'm just happy you're still here. Shane ""I've decided I want to see a therapist. Harvey got me in touch with a colleague of his... Shane ""Anyway... I just wanted to thank you for taking care of me. And I want you to know that I'm going to take things a little more seriously from now on. I don't want to be a burden on anyone... "
Farm,2128292/e 3900074/t 600 630/f Shane 2500/D Shane," Shane ""Hey, @! Shane ""Uh... So I got two tickets to the Tunnelers game tonight. Shane ""If you want to come, meet me at the bus stop around 5pm. "
Farm,3917587/f Alex 3500/O Alex/t 500 820/M 5000/d Sun/y 2," Alex ""Hey, @. Before you head out... I hate to ask this... but can I have 5,000g? It's for a secret project I'm working on... I know we have a joint bank account, but I thought I should ask anyway. fork0 ""Give Alex 5,000g for his secret project?#Yes# Alex ""Really? You won't spare a measly 5,000g to make me happy? I didn't know you were such a cheapskate... Alex ""I just wanted to have a little fun... dialogue Alex ""I don't want to talk to you right now... """
Farm,giveAlexMoney," Alex ""Great! Swing by the Saloon on Sunday and I'll show you the end result! "
Farm,3917600/f Emily 3500/O Emily/t 500 820," Emily ""Hey, honey... before you get to work today, do you have a moment? I've been working on something special for you... but I need a little help finishing it. Emily ""It's a secret, so I can't tell you what it is... but could you bring me 200 pieces of fiber? Emily ""That's all I need! Just bring the 200 fiber by when you have a chance... no rush! dialogue Emily ""No peeking! You'll see the end result soon."""
